mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.438552188873291,0.2920176222604363,0.22223470211029053,0.15495348073734228,38000.0,{'ccp_alpha': 38000.0},-4387.489350698146,-4977.108596318889,-5311.340372413555,-4716.314085050044,-5255.663736488294,-4233.068588148782,-5257.863679308342,-5417.774478560567,-4056.6537286118605,-5488.529922931548,-4910.180653853003,499.55673254468223,964
1.3835382223129273,0.22848983886830954,0.24480586051940917,0.14166030991633224,39000.0,{'ccp_alpha': 39000.0},-4384.706458070905,-4975.952963279539,-5306.828337201045,-4714.32694385142,-5255.983363708393,-4230.553808770787,-5256.261448102996,-5421.35209015887,-4055.825300464992,-5484.489108402501,-4908.627982201145,499.84064126754873,962
1.370504093170166,0.2154946369333948,0.21284101009368897,0.1159710917804147,40000.0,{'ccp_alpha': 40000.0},-4385.85172970271,-4974.624299068894,-5307.088978941583,-4713.092350748907,-5257.174510066175,-4231.001176691507,-5255.02931277373,-5424.30384997778,-4053.3466321903416,-5484.7129205635765,-4908.62257607252,500.4612041668085,961
1.4532690525054932,0.20650661617665503,0.28355610370635986,0.17903095865031493,41000.0,{'ccp_alpha': 41000.0},-4384.770755502211,-4973.546832998687,-5305.324771493645,-4712.139531950287,-5255.489456765127,-4231.610963817838,-5255.827365298896,-5426.9677572616765,-4051.616985867541,-5485.547449635677,-4908.284187059158,500.9798501348915,960
1.3502033233642579,0.23238925229655286,0.27912733554840086,0.13029322004330848,42000.0,{'ccp_alpha': 42000.0},-4384.1748353369985,-4972.760663146481,-5303.628387834915,-4711.1205970934925,-5254.928180602174,-4228.044390945745,-5254.352354062583,-5428.3408546025175,-4049.029088974377,-5483.317811824457,-4906.969716442373,501.60685938662124,959
1.3992263793945312,0.32021483150237295,0.21475732326507568,0.11798331111579904,43000.0,{'ccp_alpha': 43000.0},-4382.549443540673,-4972.770924013502,-5301.964544223857,-4710.302928207635,-5253.466312027873,-4226.161596409089,-5253.461863030958,-5426.4075702890495,-4048.2251620672173,-5481.683270532352,-4905.699361434221,501.517594978886,958
1.4890852689743042,0.13016589033818002,0.23708295822143555,0.13069381949520617,44000.0,{'ccp_alpha': 44000.0},-4380.443484307586,-4972.4060970482315,-5301.082392784085,-4708.623407555023,-5253.806974203189,-4225.043220166927,-5252.366878288984,-5425.652538244813,-4048.5894526838515,-5481.418998705742,-4904.943344398844,501.65688921213444,957
1.436346960067749,0.22372503619265033,0.23903052806854247,0.15952953343819612,45000.0,{'ccp_alpha': 45000.0},-4378.570387035332,-4973.552042103935,-5302.566584225761,-4706.727178500284,-5253.000598831347,-4225.953460742241,-5250.955922055133,-5422.06299956163,-4046.7927813022447,-5478.155938162247,-4903.833789252016,501.3442773690795,956
1.384876799583435,0.17078248128518214,0.19723331928253174,0.09833466821674987,46000.0,{'ccp_alpha': 46000.0},-4378.715900359767,-4971.0595616999,-5301.788339183837,-4705.359624541739,-5252.5039240050555,-4224.74536953935,-5249.38668316642,-5420.398379174762,-4045.7349860585596,-5476.731400819216,-4902.642416854861,501.1523399122794,955
1.4578107595443726,0.18064769198196956,0.2046283721923828,0.14991437227085042,47000.0,{'ccp_alpha': 47000.0},-4379.532264453298,-4971.226257871869,-5301.393594555977,-4705.535039548509,-5253.337485208369,-4224.8563462377515,-5246.299732814259,-5420.197066327959,-4045.0736693407907,-5475.448074365121,-4902.28995307239,500.80686745251137,954
1.368800115585327,0.23457041498087974,0.2807257413864136,0.16604960733210644,48000.0,{'ccp_alpha': 48000.0},-4377.936276272942,-4971.661029858592,-5300.556984913214,-4704.572297841515,-5254.2686866815975,-4224.524449139473,-5244.395181104786,-5417.936556200259,-4044.6829742921705,-5474.097755184174,-4901.463219148872,500.6093882286372,953
1.381257128715515,0.33014285141554206,0.18798434734344482,0.08140674754546277,49000.0,{'ccp_alpha': 49000.0},-4377.774375970101,-4969.616446903859,-5300.5233741787315,-4702.192576715981,-5254.086901799633,-4222.771575694075,-5243.810836762151,-5414.63290175295,-4044.4020088747075,-5471.796848240718,-4900.16078468929,500.3179878194373,952
